Call;Organisation;Project title;Applicant / Contact person;Decision No.;Decision date;Funding period;Funding
ESF EUROCORES EuroEPINOMICS, kutsuhaku TT;University of Eastern Finland;Epigenetic Regulation of Epileptogenesis in Pathologies Associated with Increased Amyloidogenic Amyloid Precursor Protein Cleavage ¿Traumatic Brain Injury and Alzheimer's Disease.;Pitkänen, Asla;141546;15.12.2010;01.01.2011 - 31.05.2014;350.000
ESF EUROCORES EuroEPINOMICS, kutsuhaku TT;University of Eastern Finland;Genetic targets of epileptogenesis and pharmacoresistance in brain glial cells - a translational research project of the genetical and molecular pathways of temporal lobe epilepsy and febrile seizures;Kälviäinen, Reetta;141547;15.12.2010;01.01.2011 - 31.12.2013;346.778
ESF EUROCORES EuroVol, kutsuhaku BY;University of Eastern Finland;Induction of plant VOC emission by biotic and abiotic stresses and consequences for community ecology: a multidisciplinary approach (A-BIO-VOC);Blande, James;141053;25.01.2011;25.01.2011 - 31.12.2013;241.920
ESF-hankeyhteistyö  humanistisilla ja yhteiskuntatieteellisillä aloilla KY;University of Helsinki;EuroBABEL: Ob-Ugric languages: conceptual structures, lexicon, constructions, categories;Forsberg, Ulla-Maija;131467;30.01.2009;01.04.2009 - 31.12.2012;241.160
ESF-hankeyhteistyö  humanistisilla ja yhteiskuntatieteellisillä aloilla KY;University of Jyväskylä;EuroHESC: Change in Networks, Higher Education and Knowledge Societies (CINHEKS);Välimaa, Jussi;131466;30.01.2009;01.02.2009 - 31.12.2011;181.160
ESF-hankeyhteistyö  humanistisilla ja yhteiskuntatieteellisillä aloilla KY;University of Turku;European Social Survey, ESS;Ervasti, Heikki;131461;25.09.2009;01.01.2010 - 31.12.2011;573.730
ESF-hankeyhteistyö 2009 biotieteiden ja ympäristön tutkimuksen aloilla, kutsuhaku BY;University of Helsinki;How to live in a mosaic of stressors - an ecological genomics approach on the water flea Daphnia;Frilander, Mikko;135291;15.12.2009;01.06.2010 - 31.12.2013;392.181
ESF-hankeyhteistyö EUROCORES EUROCORECODE, kutsuhaku KY;University of Eastern Finland;Crossborder Co-operation Practices, 'Mediascapes' and relative (un)familiarity in the Finnish-Russian and the Finnish-Estonian contexts;Scott, James;137403;22.01.2010;01.03.2010 - 28.02.2014;201.277
ESF-hankeyhteistyö EUROCORES EuroGRAPHENE -kutsuhaku LT;Aalto University;Entangled spin pairs in graphene;Hakonen, Pertti;135908;25.11.2009;01.01.2010 - 31.12.2013;359.999
ESF-hankeyhteistyö biotieteiden ja ympäristön tutkimuksen aloilla, kutsuhaku BY;Aalto University;Molecular level physiology and pathology of oxidized phospholipids;Kinnunen, Paavo;218706;03.03.2009;01.01.2011 - 31.12.2012;84.100
ESF-hankeyhteistyö biotieteiden ja ympäristön tutkimuksen aloilla, kutsuhaku BY;Tampere University of Technology -2018;Lipid-protein interactions in membrane  organisation (LIPIDPROD);Vattulainen, Ilpo;131425;03.03.2009;01.08.2009 - 31.12.2012;149.160
ESF-hankeyhteistyö biotieteiden ja ympäristön tutkimuksen aloilla, kutsuhaku BY;University of Helsinki;Molecular Determinants of Sterol-Sphingolipid-Protein Interactions in Living Cells and Organisms;Ikonen, Elina;131429;03.03.2009;01.04.2009 - 31.12.2012;160.030
ESF-hankeyhteistyö biotieteiden ja ympäristön tutkimuksen aloilla, kutsuhaku BY;University of Helsinki;Molecular level physiology and pathology of oxidized phospholipids;Kinnunen, Paavo;131434;03.03.2009;01.07.2009 - 31.12.2010;75.930
ESF-hankeyhteistyö biotieteiden ja ympäristön tutkimuksen aloilla, kutsuhaku BY;University of Turku;EuroSynapse - Spatio-temporal organization of the synaptic membrane for synaptic vesicle protein recycling;Hänninen, Pekka;131443;03.03.2009;01.08.2009 - 31.12.2012;160.030
ESF-hankeyhteistyö luonnontieteiden ja tekniikan aloilla LT;Aalto University;Atomic Scale Friction - Molecules in Motion (AFRI);Foster, Adam;129187;21.04.2008;21.04.2008 - 31.12.2008;13.140
ESF-hankeyhteistyö luonnontieteiden ja tekniikan aloilla LT;Aalto University;Nanomanipulation of Metallic Clusters on Insulating Substrates (NOMCIS);Foster, Adam;129186;21.04.2008;21.04.2008 - 31.12.2008;22.510
ESF-hankeyhteistyö luonnontieteiden ja tekniikan aloilla LT;Tampere University of Technology -2018;Atomic Scale Friction - Molecules in Motion (AFRI);Foster, Adam;217574;21.04.2008;01.01.2009 - 31.12.2011;166.860
ESF-hankeyhteistyö luonnontieteiden ja tekniikan aloilla LT;Tampere University of Technology -2018;Nanomanipulation of Metallic Clusters on Insulating Substrates (NOMCIS);Foster, Adam;217573;21.04.2008;01.01.2009 - 31.12.2011;157.490
ESF-hankeyhteistyö terveystieteellisillä aloilla TT;Finnish Institute for Health and Welfare;Developmental Origins of Stress and Mental Health (DOMe-project: Do traumatic stressors in childhood and over the life-course change the functionality of stress mediators and increase the risk for psychiatric disorders?;Eriksson, Johan Gunnar;129907;18.09.2008;01.01.2009 - 31.12.2011;128.580
ESF-hankeyhteistyö terveystieteellisillä aloilla TT;University of Helsinki;Developmental Origins of Stress and Mental Health (DOMe-project);Räikkönen-Talvitie, Katri;129911;18.09.2008;01.01.2009 - 31.12.2011;128.580
Etelämanner-tutkimus LT;Finnish Meteorological Institute;Antarctic Coastal and High Plateau Aerosols and Snow / Consortium: ANTAS;Hillamo, Risto Erkki Johannes;127411;15.09.2008;01.01.2009 - 31.12.2012;200.000
Etelämanner-tutkimus LT;Finnish Meteorological Institute;Antarctic Meteorology and its Interaction with the Cryosphere and the Ocean / Consortium: AMICO;Vihma, Timo;128533;15.09.2008;01.01.2009 - 31.12.2012;340.000
Etelämanner-tutkimus LT;Finnish Meteorological Institute;Studies of the Changing Antarctic Atmosphere using Soundings, Remote Sensing and Modelling: A Bi-polar Approach. (SAARA);Kyrö, Esko;128261;15.09.2008;01.01.2009 - 31.12.2012;470.000
Etelämanner-tutkimus LT;University of Helsinki;Antarctic Coastal and High Plateau Aerosols and Snow (ANTAS) / Consortium: ANTAS;Kulmala, Markku;127534;15.09.2008;01.01.2009 - 31.12.2012;200.000
Etelämanner-tutkimus LT;University of Helsinki;Antarctic boundary layers / Consortium: AMICO;Savijärvi, Hannu I;128799;15.09.2008;01.01.2009 - 31.12.2012;190.000
Etelämanner-tutkimus LT;University of Helsinki;Evolution of snow cover and dynamics of atmospheric deposits in the snow in the Antarctica / Consortium: ANTAS;Leppäranta, Matti;127691;15.09.2008;01.01.2009 - 31.12.2012;110.000
Etelämanner-tutkimus LT;University of Lapland;Dynamical evolution of Scharffenbergbotnen blue ice area since the Late Glacial Maximum;Moore, John;126820;15.09.2008;01.01.2009 - 31.12.2012;370.000
Etelämanner-tutkimus LT;University of Oulu;Cenozoic East Antarctic Ice Sheet History from Wilkes Land Sediments, IODP Expedition 323;Strand, Kari;129010;15.09.2008;01.01.2009 - 31.12.2012;120.000
European Collaborative Research Projects (ECRP) - yhteishankkeiden kansalliset osahankkeet KY;University of Turku;"Bullying networks across school classes (as part of the 
ECRP project: Social influence in dynamic networks)";Salmivalli, Christina;255584;27.05.2011;01.03.2011 - 31.12.2014;287.197
European Social Survey - Suomen osuuden kustannukset KY;University of Turku;European Social Survey, ESS Round 6;Ervasti, Heikki;262963;09.12.2011;01.01.2012 - 31.12.2013;975.543
FICCA/ Societal implications and consequences of the climate change, CASS BY;University of Turku;China and EU in the context of global climate change - Analysis of changing economic structures and related policies (CHEC);Luukkanen, Jyrki;255879;28.10.2011;01.01.2012 - 31.12.2014;585.836
FICCA/Climate change and ecosystem adaptation, CAS BY;Finnish Environment Institute;IMPACTS OF CLIMATE CHANGE ON MULTIPLE ECOSYSTEM SERVICES: PROCESSES AND ADAPTATION OPTIONS AT LANDSCAPE SCALES (CLIMES);Forsius, Martin;256231;28.10.2011;01.01.2012 - 31.12.2014;699.288
